list_entry,reason,title,statutory_address
1299006,monument,"Dawson Monument Approximately 6 Metres South of All Saints Church","DAWSON MONUMENT APPROXIMATELY 6 METRES SOUTH OF ALL SAINTS CHURCH"
1299110,monument,"Monument to Dorothy Berro--- in the Churchyard About 8 Metres North of North Corner of Aisle Chapel of the Church of St Mary","MONUMENT TO DOROTHY BERRO--- IN THE CHURCHYARD ABOUT 8 METRES NORTH OF NORTH CORNER OF AISLE CHAPEL OF THE CHURCH OF ST MARY, CHURCH ROAD"
1299593,monument,"Wall Monument to Elizabeth Meredith on East (Outside) Wall of North Chapel of Church of St Nicholas","WALL MONUMENT TO ELIZABETH MEREDITH ON EAST (OUTSIDE) WALL OF NORTH CHAPEL OF CHURCH OF ST NICHOLAS, LOWER STREET"
1299596,monument,"Monument to Richard Saxby of Caring, 2 Yards South East of South Chapel of Church of St Nicholas","MONUMENT TO RICHARD SAXBY OF CARING, 2 YARDS SOUTH EAST OF SOUTH CHAPEL OF CHURCH OF ST NICHOLAS, LOWER STREET"
1300401,lych_gate,"Lych Gate to Christ Church","LYCH GATE TO CHRIST CHURCH, CHURCH DRIVE"
1300701,gate_related,"Railings, Gates and Piers to Front of Congregational Church","RAILINGS, GATES AND PIERS TO FRONT OF CONGREGATIONAL CHURCH, VICTORIA ROAD"
1300801,monument,"Grave monument to W.E Henley at St John the Baptist Church","Grave monument to W.E Henley at St John the Baptist Church"
1301000,dovecote,"Dovecote About 150 Yards West of Grafton Manor and Adjoining Chapel","DOVECOTE ABOUT 150 YARDS WEST OF GRAFTON MANOR AND ADJOINING CHAPEL, GRAFTON LANE"
1303007,wall_related,"Wall to Graveyard at Church of St. Mary and Enclosing Former Priory","WALL TO GRAVEYARD AT CHURCH OF ST. MARY AND ENCLOSING FORMER PRIORY, HIGH STREET"
1303165,wall_related,"Wall between Forbury Road and Abbott's Walk to west of St James's Church","Wall between Forbury Road and Abbott's Walk to west of St James's Church, Forbury Road"
1303624,monument,"Group of 3 Rodway Monuments in the Churchyard Approximately 5 Metres North of North Chapel to Church of St Leonard","GROUP OF 3 RODWAY MONUMENTS IN THE CHURCHYARD APPROXIMATELY 5 METRES NORTH OF NORTH CHAPEL TO CHURCH OF ST LEONARD, CHURCHFIELD ROAD"
1303628,lych_gate,"Lych Gate to Saint Aldhelm's Church","LYCH GATE TO SAINT ALDHELM&#x27;S CHURCH"
1303967,monument,"Unidentified Monument 5 Metres South of South Chapel of Church of St Michael","UNIDENTIFIED MONUMENT 5 METRES SOUTH OF SOUTH CHAPEL OF CHURCH OF ST MICHAEL, COMPTON PARK"
1304015,monument,"Scormy Monument 12 Metres South of All Saints Church","SCORMY MONUMENT 12 METRES SOUTH OF ALL SAINTS CHURCH, VILLAGE STREET"
1304044,monument,"Austen Monument in the Churchyard, 1 Metre North West of North Aisle of All Saints Church","AUSTEN MONUMENT IN THE CHURCHYARD, 1 METRE NORTH WEST OF NORTH AISLE OF ALL SAINTS CHURCH, VILLAGE STREET"
1304316,headstone,"Thornton Headstone 5M South of Chancel of St Andrew's Church","THORNTON HEADSTONE 5M SOUTH OF CHANCEL OF ST ANDREW&#x27;S CHURCH"
1304360,wall_related,"Throop United Reformed Church, Graveyard Wall and Entrance to the East, South and West of the Church","THROOP UNITED REFORMED CHURCH, GRAVEYARD WALL AND ENTRANCE TO THE EAST, SOUTH AND WEST OF THE CHURCH, MUSCLIFF LANE"
1305484,monument,"Wheller Family Monument, in the Churchyard, 11 Metres South of South Aisle of St Mary's Church","WHELLER FAMILY MONUMENT, IN THE CHURCHYARD, 11 METRES SOUTH OF SOUTH AISLE OF ST MARY&#x27;S CHURCH"
1306066,churchyard_feature,"Churchyard Cross 15 Metres North of Parish Church","CHURCHYARD CROSS 15 METRES NORTH OF PARISH CHURCH"
1306160,railings_related,"Iron Railings Surrounding Tree at Crossroads West of St Thomas Church","IRON RAILINGS SURROUNDING TREE AT CROSSROADS WEST OF ST THOMAS CHURCH"
